id,titulo,tipo,pilar,estado,nivel_certeza,url,accion
SRC-0026,MUDRA MARCO RADAR DELTA READ ONLY 20260520,protocolo,nexus,ACTIVO,N4,https://drive.google.com/file/d/16_m--yh8zrDtrZE7vy5W8GN8DVR2AT9Q,conservar como marco read only
SRC-0027,V33 Dashboard Pentacoro Metatron 0001,dashboard,nexus,ACTIVO,N4,https://drive.google.com/file/d/1FmiY8XAwf4Xr4m0Drbfwax_EC7L4sXeu,registrar como superficie de dashboard
SRC-0028,T44 Dashboard Teseracto Staging 0001,dashboard,nexus,ACTIVO,N4,https://drive.google.com/file/d/1Qw0wHVAJvYFQjZuCD8gg9RU8unpp7mNd,registrar como dashboard staging Teseracto
SRC-0029,B55 Dashboard Cerebro Bicameral Staging 0001,dashboard,nexus,ACTIVO,N4,https://drive.google.com/file/d/1puarpYdLdLvilm1cU1m5HF40FhHAsJ9-,registrar como dashboard bicameral
SRC-0030,E66 Dashboard Tronco Encefalico Automatizaciones Staging 0001,dashboard,nexus,ACTIVO,N4,https://drive.google.com/file/d/1XPW1FH_sHiv2KEXsN5pj5eeQlrltKzTC,registrar como dashboard automatizaciones
SRC-0031,O11 Gestacion Por Oleadas Trigger 0001,trigger,nexus,ACTIVO,N4,https://drive.google.com/file/d/1lNy5zuM941vjLSWNYqkvnBEL6NhUAcud,usar como regla de gestacion por oleadas
SRC-0032,T55 Talamo Nexus Staging 0001,staging,nexus,ACTIVO,N4,https://drive.google.com/file/d/1rBqgCpQtoASySqRqDtgL5xSRM0fVgXIX,registrar como staging Talamo Nexus
SRC-0033,N3-ACT-SIS output W5-26,pendiente_titulacion,sistema,ACTIVO,N3,https://drive.google.com/file/d/1VzQvE_ETP0m2jZAcKiRT3Y8NIn70EPHU,renombrar o descartar tras inspeccion manual
SRC-0034,N3-ACT-SIS output W5-24,pendiente_titulacion,sistema,ACTIVO,N3,https://drive.google.com/file/d/1p_PjREKaJXq-TFRx0LCtNzx19T62UBiC,renombrar o descartar tras inspeccion manual
SRC-0035,N3-ACT-SIS output W5-22,pendiente_titulacion,sistema,ACTIVO,N3,https://drive.google.com/file/d/1bsccLkTtr-5FDZ1XuwHMm0nTKkOl_sLC,renombrar o descartar tras inspeccion manual
SRC-0036,N3-ACT-SIS output W5-31,pendiente_titulacion,sistema,ACTIVO,N3,https://drive.google.com/file/d/1u1NEStsNEYnBE3Ko9QPeSQ-LnnruY-nz,renombrar o descartar tras inspeccion manual
SRC-0037,N3-ACT-SIS output W5-30,pendiente_titulacion,sistema,ACTIVO,N3,https://drive.google.com/file/d/1cEe7nkdwGVACCT-bHgfXMLhl28wXpM-B,renombrar o descartar tras inspeccion manual
SRC-0038,OUROBOROS MAPA EXPRESION 2026-04-19 0103,mapa,sistema,ACTIVO,N3,https://drive.google.com/file/d/1g2_jJG6xPxT_urY4_Lbhs2T5ylQFm8L2,conservar como mapa expresivo estructural
SRC-0039,SUN-0005 DRIVE SYNC INDEX 2026-05-01,indice,sistema,ACTIVO,N3,https://drive.google.com/file/d/14PHIjKErVQZ3qs3FAqTZtxpS9ZLRV2BO,comparar contra version N4
SRC-0040,Brief Claude Cartografia Navegacion,brief,sistema,ACTIVO,N3,https://drive.google.com/file/d/1tP4ZJ8SZX6OKCfH5ugToFGOYC92tYLdG,usar como referencia de navegacion Claude
SRC-0041,ATLAS TI SYNC GUIDE,guia,sistema,ACTIVO,N3,https://drive.google.com/file/d/10duprfQ99GYn8xWNFFaV0f7ONXK5z172,usar como guia de sincronizacion ATLAS TI
SRC-0042,README ATLAS TI PILOTO,readme,sistema,ACTIVO,N3,https://drive.google.com/file/d/15ca-v4PeKs88EcOuE80XsnkZNUxjHFsQ,usar como entrada piloto ATLAS TI
SRC-0043,07 LEGACY,legacy,sistema,LEGACY,N3,https://drive.google.com/file/d/1tdOYSQ5YV27y9itRjKgC9XsBXWtY6IdO,conservar solo como referencia historica
SRC-0044,ananda bitacora 20260522,bitacora,sistema,ACTIVO,N3,https://drive.google.com/file/d/1wuBg8q6Eb_pPQaRGGDV30e5M5s6toWAF,revisar si contiene solo eventos estructurales
SRC-0045,ananda_bitacora_20260520_nocturna,bitacora,sistema,ACTIVO,N3,https://docs.google.com/document/d/1fRX40kiq3btvrHRbgsOYEy0O6npRnSN-AznS7EQR9oM,revisar si contiene solo eventos estructurales
SRC-0046,ananda_bitacora_20260511,bitacora,sistema,ACTIVO,N3,https://docs.google.com/document/d/10TDvaBbR1311vLzDGrlM-TXe82ibLfMAfASrwyaNCl0,revisar si contiene solo eventos estructurales
SRC-0047,digestion_local_20260518,digestion,sistema,ACTIVO,N3,https://docs.google.com/document/d/1sGm6maeFLEEckII7aPqZs5YylABhFflKqFCAibF_9WE,revisar flags antes de canonizar
SRC-0048,digestion_local_20260516,digestion,sistema,ACTIVO,N3,https://docs.google.com/document/d/1Lwlxi4SZ53HwtKZG9UbEQNz9warBWpcXUsI2fTq5j5A,revisar flags antes de canonizar
SRC-0049,Google AI Studio plan,plan,sistema,ACTIVO,N3,https://docs.google.com/document/d/1aT5mSLZGSBYGLXsOWGv_hws-Kn8CZDDi0-QX-QJHvb0,usar como plan tecnico Google AI Studio
SRC-0050,N3-ACT-SIS output W5-32,pendiente_titulacion,sistema,ACTIVO,N3,https://drive.google.com/file/d/15LrwBVE-xQgS3LtDbNUVYtv5EJt31e9y,renombrar o descartar tras inspeccion manual
